fisherCode,cpueYear,yearSerial,birthDate,fishingDates,experience,generation,rawCpue,stage,gear,vesselType,vesselCapacity,propulsion,netLength,numNets,harpoonSkill,totalNetLength,stCpue,logRawCpue,stageString
193201,1952,1,1932,1952-1970,3,1,17.2,1,1,1,1,1,0,0,1,NA,17.2,1.236,initial_development
193710,1952,1,1937,1952-1982,3,3,19,1,1,1,1,1,0,0,1,NA,19,1.279,initial_development
194113,1958,7,1941,1958-1972,3,1,17,1,1,1,1,1,0,0,1,NA,17,1.230,initial_development
194219,1958,7,1942,1951-1972,3,1,15,1,1,1,1,1,0,0,1,NA,15,1.176,initial_development
194018,1959,8,1940,1959-1964,2,1,18.5,1,1,1,1,1,0,0,1,NA,18.5,1.267,initial_development
194504,1962,11,1945,1958-1983,3,3,5.5,2,1,1,1,1,0,0,0.5,NA,11,0.740,commercial_fishing_harpoon
194716,1962,11,1947,1962-1972,3,1,12.5,2,1,1,2,1,0,0,1,NA,12.5,1.097,commercial_fishing_harpoon
194510,1963,12,1945,1963-1972,2,1,8.5,2,1,1,1,2,0,0,1,NA,8.5,0.929,commercial_fishing_harpoon
195116,1963,12,1951,1960-1980,3,2,9.25,2,1,1,1,1,0,0,0.75,NA,12.3333333333333,0.966,commercial_fishing_harpoon
194807,1963,12,1948,1960-1970,3,1,7.7,2,1,1,1,1,0,0,0.75,NA,10.2666666666667,0.886,commercial_fishing_harpoon
195205,1965,14,1952,1965-1972,2,1,11,2,1,1,2,1,0,3,1,NA,11,1.041,commercial_fishing_harpoon
193516,1965,14,1935,1960-1982,3,3,12.5,2,1,1,1,1,0,0,1,NA,12.5,1.097,commercial_fishing_harpoon
193201,1966,15,1932,1952-1970,3,1,10,3,2,1,1,2,1,2,NA,2,5,1.000,commercial_fishing_driftnet
194219,1966,15,1942,1951-1972,3,1,11.4,3,2,1,1,2,1,2,NA,2,5.7,1.057,commercial_fishing_driftnet
194807,1968,17,1948,1960-1970,3,1,5.5,3,2,1,1,2,1,2.5,NA,2.5,2.2,0.740,commercial_fishing_driftnet
193903,1969,18,1939,1959-1972,3,1,8.3,3,2,1,1,2,1,2,NA,2,4.15,0.919,commercial_fishing_driftnet
194113,1969,18,1941,1958-1972,3,1,9,3,3,1,1,2,2,2,NA,4,2.25,0.954,commercial_fishing_driftnet
194206,1969,18,1942,1967-1972,2,1,5.5,3,2,1,1,2,1,1,NA,1,5.5,0.740,commercial_fishing_driftnet
194716,1969,18,1947,1962-1972,3,1,9,3,3,1,2,2,2,2,NA,4,2.25,0.954,commercial_fishing_driftnet
194807,1969,18,1948,1960-1970,3,1,5.5,3,2,1,1,2,1,2.5,NA,2.5,2.2,0.740,commercial_fishing_driftnet
194510,1970,19,1945,1963-1972,2,1,3.5,3,2,1,1,2,1,2,NA,2,1.75,0.544,commercial_fishing_driftnet
195602,1970,19,1956,1974-1979,1,2,2.3,3,2,2,2,3,1,2,NA,2,1.15,0.362,commercial_fishing_driftnet
194206,1971,20,1942,1967-1972,2,1,3.67,3,2,1,1,2,1,1,NA,1,3.67,0.565,commercial_fishing_driftnet
195003,1972,21,1950,1970-1972,1,1,6.3,3,2,3,3,2,1,3,NA,3,2.1,0.799,commercial_fishing_driftnet
195205,1972,21,1952,1965-1972,2,1,4.4,3,2,1,2,1,1,3,NA,3,1.46666666666667,0.643,commercial_fishing_driftnet
195206,1978,27,1952,1963-1982,3,3,3.3,4,2,2,2,2,1,2,NA,2,1.65,0.519,collapse
196010,1980,29,1960,1974-1982,2,2,3.125,4,2,2,2,3,1,2,NA,2,1.5625,0.495,collapse
195116,1980,29,1951,1960-1980,3,2,3.5,4,3,2,1,2,2,3.5,NA,7,0.5,0.544,collapse
193710,1981,30,1937,1952-1982,3,3,3,4,2,2,2,3,1,2,NA,2,1.5,0.477,collapse
196216,1981,30,1962,1981-1982,1,2,2.9,4,2,2,2,3,1,2,NA,2,1.45,0.462,collapse
196015,1982,31,1960,1974-1982,2,2,4.5,4,2,2,2,3,1,3,NA,3,1.5,0.653,collapse
196216,1982,31,1962,1981-1982,1,2,2.9,4,2,2,2,3,1,2,NA,2,1.45,0.462,collapse
